utc_timestamp,DE_wind_generation_actual,DE_wind_capacity,DE_wind_offshore_capacity,DE_wind_onshore_capacity,DE_wind_profile,DE_wind_offshore_profile,DE_wind_onshore_profile
2015-01-03T15:00:00Z,16038.0,27926.0,667.0,27259.0,0.5743,0.7124,0.5709
2015-01-03T16:00:00Z,15378.0,27926.0,667.0,27259.0,0.5506,0.7315,0.5462
2015-01-03T17:00:00Z,14449.0,27926.0,667.0,27259.0,0.5174,0.7694,0.5112
2015-01-03T18:00:00Z,12946.0,27926.0,667.0,27259.0,0.4636,0.7707,0.4561
2015-01-03T19:00:00Z,13871.0,27926.0,667.0,27259.0,0.4967,0.7702,0.49
2015-01-03T20:00:00Z,15216.0,27926.0,667.0,27259.0,0.5448,0.7709,0.5393
2015-01-03T21:00:00Z,15811.0,27926.0,667.0,27259.0,0.5662,0.7715,0.5612
2015-01-03T22:00:00Z,17337.0,27926.0,667.0,27259.0,0.6208,0.7709,0.6172
2015-01-03T23:00:00Z,17864.0,27926.0,667.0,27259.0,0.6397,0.771,0.6365
2015-01-04T00:00:00Z,18736.0,27926.0,667.0,27259.0,0.6709,0.7703,0.6685
2015-01-04T01:00:00Z,18898.0,27926.0,667.0,27259.0,0.6767,0.7669,0.6745
2015-01-04T02:00:00Z,18966.0,27926.0,667.0,27259.0,0.6792,0.7553,0.6773
2015-01-04T03:00:00Z,19098.0,27926.0,667.0,27259.0,0.6839,0.7568,0.6821
2015-01-04T04:00:00Z,18750.0,27926.0,667.0,27259.0,0.6714,0.7554,0.6694
2015-01-04T05:00:00Z,18627.0,27926.0,667.0,27259.0,0.667,0.7477,0.665
2015-01-04T06:00:00Z,17995.0,27926.0,667.0,27259.0,0.6444,0.7428,0.642
2015-01-04T07:00:00Z,17961.0,27926.0,667.0,27259.0,0.6432,0.7483,0.6406
2015-01-04T08:00:00Z,17248.0,27926.0,667.0,27259.0,0.6176,0.7371,0.6147
2015-01-04T09:00:00Z,16822.0,27926.0,667.0,27259.0,0.6024,0.7464,0.5988
2015-01-04T10:00:00Z,16905.0,27926.0,667.0,27259.0,0.6054,0.7512,0.6018
2015-01-04T11:00:00Z,16848.0,27926.0,667.0,27259.0,0.6033,0.7278,0.6002
2015-01-04T12:00:00Z,16658.0,27926.0,667.0,27259.0,0.5965,0.7063,0.5938
2015-01-04T13:00:00Z,16118.0,27926.0,667.0,27259.0,0.5772,0.7333,0.5734
2015-01-04T14:00:00Z,15084.0,27926.0,667.0,27259.0,0.5401,0.7221,0.5357
2015-01-04T15:00:00Z,14160.0,27926.0,667.0,27259.0,0.5071,0.6879,0.5026
2015-01-04T16:00:00Z,13715.0,27926.0,667.0,27259.0,0.4911,0.6956,0.4861
2015-01-04T17:00:00Z,13750.0,27926.0,667.0,27259.0,0.4924,0.7039,0.4872
2015-01-04T18:00:00Z,14251.0,27926.0,667.0,27259.0,0.5103,0.6429,0.507
2015-01-04T19:00:00Z,14132.0,27926.0,667.0,27259.0,0.5061,0.6326,0.503
2015-01-04T20:00:00Z,13069.0,27926.0,667.0,27259.0,0.468,0.6086,0.4646
2015-01-04T21:00:00Z,12458.0,27926.0,667.0,27259.0,0.4461,0.6976,0.4399
2015-01-04T22:00:00Z,12453.0,27926.0,667.0,27259.0,0.446,0.6905,0.44
2015-01-04T23:00:00Z,12321.0,27939.0,670.0,27268.0,0.441,0.7069,0.4345
2015-01-05T00:00:00Z,12279.0,27939.0,670.0,27268.0,0.4395,0.6934,0.4333
2015-01-05T01:00:00Z,12660.0,27939.0,670.0,27268.0,0.4532,0.6888,0.4474
2015-01-05T02:00:00Z,12763.0,27939.0,670.0,27268.0,0.4568,0.6722,0.4515
2015-01-05T03:00:00Z,13547.0,27939.0,670.0,27268.0,0.4849,0.6765,0.4802
2015-01-05T04:00:00Z,14853.0,27939.0,670.0,27268.0,0.5316,0.6844,0.5279
2015-01-05T05:00:00Z,15410.0,27939.0,670.0,27268.0,0.5516,0.6426,0.5493
2015-01-05T06:00:00Z,15314.0,27939.0,670.0,27268.0,0.5481,0.5918,0.547
2015-01-05T07:00:00Z,15190.0,27939.0,670.0,27268.0,0.5437,0.5005,0.5448
2015-01-05T08:00:00Z,14611.0,27939.0,670.0,27268.0,0.523,0.4821,0.524
2015-01-05T09:00:00Z,13642.0,27939.0,670.0,27268.0,0.4883,0.4955,0.4881
2015-01-05T10:00:00Z,12310.0,27939.0,670.0,27268.0,0.4406,0.5323,0.4384
2015-01-05T11:00:00Z,11118.0,27939.0,670.0,27268.0,0.398,0.6139,0.3926
2015-01-05T12:00:00Z,9794.0,27939.0,670.0,27268.0,0.3506,0.5773,0.345
2015-01-05T13:00:00Z,7868.0,27939.0,670.0,27268.0,0.2816,0.4768,0.2768
2015-01-05T14:00:00Z,6205.0,27939.0,670.0,27268.0,0.2221,0.4083,0.2175
